"Year_","United_States","World_"
"1980","227.22468","4451.32679"
"1981","229.46571","4534.01064"
"1982","231.66446","4613.94102"
"1983","233.79199","4694.9362"
"1984","235.8249","4775.05313"
"1985","237.9238","4856.52116"
"1986","240.13289","4940.1947"
"1987","242.28892","5026.35348"
"1988","244.49898","5113.1907"
"1989","246.81923","5199.68056"
"1990","249.62281","5286.92957"
"1991","252.98094","5369.79076"
"1992","256.51422","5454.29816"
"1993","259.91859","5536.20819"
"1994","263.12582","5616.68132"
"1995","266.27839","5697.40615"
"1996","269.39428","5777.31836"
"1997","272.64693","5858.37302"
"1998","275.8541","5935.74132"
"1999","279.04017","6012.44075"
"2000","282.17196","6088.68355"
"2001","285.08156","6165.32364"
"2002","287.80391","6241.71768"
"2003","290.32642","6317.4264"
"2004","293.04574","6393.12094"
"2005","295.75315","6469.12974"
"2006","298.59321","6545.88444"
"2007","301.5799","6623.57196"
"2008","304.37485","6700.76588"
"2009","307.00655","6776.91747"
"2010","310.23286","6853.01941"
